,0,1,2,3
0,7.119859866526044e-18,1.3962683840128816e-17,1.1989490344715387e-17,8.214751108874743e-09
1,4.9028083887950305e-17,5.70776241383558e-17,2.053687878721363e-08,5.080196806604736e-16
2,6.097166493486409e-16,3.064630545769704e-14,2.970699352380716e-14,9.596668253476651e-10
3,5.4232521522865665e-15,3.181449380836036e-15,2.9278303568289083e-06,1.6104514930208234e-15
4,2.4947265322468703e-14,7.758750445611229e-06,2.178592327125458e-14,1.5491045926803584e-14
5,6.221860323714222e-13,1.9396876114034153e-05,5.12313998035143e-10,7.0403320197990624e-12
6,2.397387455757106e-13,4.8492190285087027e-05,2.3770368436870203e-13,2.5247450401042163e-13
7,2.825689382281093e-13,2.6733627267733367e-09,0.00012123047571271799,4.2182331685059815e-11
8,1.23288037021739e-17,6.472528226674189e-12,7.100244322511513e-18,9.710063753814225e-18
9,4.632673359811987e-17,3.6569682203802485e-12,1.726149035554157e-07,3.1368576281804914e-17
10,1.6021072665887002e-16,4.684528570015211e-07,1.791928196013823e-13,9.299908309518219e-17
11,3.7772914878500425e-15,6.487079816756563e-16,6.052747744410948e-15,1.1711321427095532e-06
12,2.9136337398524876e-12,5.360194105307446e-09,3.0782464328730274e-14,3.908707751561373e-14
13,1.1036756429761108e-12,0.00011547426412200657,2.1166229308335393e-10,2.341415797411962e-11
14,1.7719847887896355e-11,2.7596033747414863e-12,1.5135435022870373e-12,0.00019078633812627104
15,3.122711241698334e-10,1.7173738823816873e-12,0.0013226768962451157,1.8881981644337497e-12
16,1.1111009304572717e-17,1.3192523834591342e-17,9.206799200582474e-18,1.3566061710388698e-17
17,2.1514305966855664e-17,1.4094898291916172e-16,2.7782973291688076e-11,2.911962511151579e-17
18,6.725943251543828e-11,3.03019186442011e-17,2.034003519573646e-18,4.004983543032265e-17
19,0.0,0.0,0.0,0.0
20,7.988578433596188e-10,2.208632219279223e-14,2.255548273604088e-14,1.6540786027295113e-14
21,4.226255790270952e-12,7.576759747742057e-13,1.1417219439604377e-13,1.4391204046371943e-13
22,1.9758506472170685e-10,2.738481828577435e-10,0.009312363049114127,1.1635438120652116e-11
23,0.0035885327916521164,2.2847205503274443e-11,6.723364587948033e-08,1.8399987882099387e-11
24,2.0296565234015198e-19,3.549789554696627e-19,2.13681159188193e-13,8.535380210299375e-19
25,6.696278224877509e-19,1.4265449563327402e-19,4.286841893343354e-19,7.075750167555158e-12
26,1.382935412932871e-17,2.3041379562524376e-11,1.2655966600809419e-17,5.05478357258939e-18
27,9.038194718755914e-20,9.346905754202273e-18,1.9214518407555468e-20,1.967629388727119e-11
28,1.4490361809790787e-14,2.7975719158026256e-15,1.2791609188646287e-11,1.9610547410290054e-14
29,0.0,0.0,0.0,0.0
30,1.0496545330963555e-10,1.4063171005410892e-12,0.023280907622785316,3.363082859141828e-10
31,0.005561021279291935,1.557188609662112e-08,1.4469124015157967e-08,2.8369067074941934e-08
32,2.939948690553504e-20,2.7859279367022054e-20,9.01968213201743e-16,1.863281675141192e-20
33,7.29531500190743e-20,1.2062498869829556e-16,1.306853906286801e-20,6.893985339899571e-20
34,5.859396710817668e-19,5.3267042804174124e-20,1.2345112117423859e-11,1.0155403376209564e-19
35,0.0,0.0,0.0,0.0
36,2.2167690995448365e-12,4.637548066299312e-12,4.105607082228281e-12,1.3373420647644897e-12
37,9.174022087566801e-12,1.997552522261396e-11,8.581216863339839e-12,4.780759644559033e-06
38,4.835541251558128e-10,0.05820226905696329,5.215568797385838e-09,9.856874100242246e-09
39,0.1455056726424082,5.684675189478851e-08,5.501360187472505e-08,3.5238756381709605e-08
40,2.7659795913402224e-21,2.77442089734489e-21,2.8899317606939882e-15,1.780253223999771e-21
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,4.668241319503057e-13,7.864201492867744e-11,1.5374895458520159e-12,3.4230752059559436e-12
44,1.6861012445876855e-12,1.1030315250058154e-12,3.718869512753604e-12,4.834728162912112e-12
45,2.655965904218267e-12,8.214940185771468e-13,3.4586005770301995e-12,2.012059306806322e-11
46,0.0,0.0,0.0,0.0
47,0.000208338084399637,6.930439736124489e-05,0.4,8.041892029276792e-06
48,2.915955617744946e-21,5.262274260532039e-21,9.521353689480546e-22,3.374123736871958e-21
49,0.0,0.0,0.0,0.0
50,8.618028819433059e-23,0.0,0.0,0.0
51,2.607707244096006e-15,3.827955199683807e-18,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,5.446928871919801e-13,3.0782941850294605e-12,1.941503466820804e-12
54,0.0,0.0,0.0,0.0
55,3.391086974631809e-05,1.9131606752397413e-05,1.0,3.452901833939601e-05
56,5.5772878236794104e-21,1.0927822661355796e-21,1.8695895618397154e-21,3.178219767432302e-21
57,8.289412730964494e-22,9.60832799691439e-22,1.0358371408020206e-22,1.4074346808881043e-22
58,7.12141890961914e-22,8.178679191779804e-22,4.0632365239879962e-22,4.864177008336016e-22
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,3.222791610769194e-13,0.0,0.0,0.0
62,3.796649544968857e-08,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
